size,num_threads,adjust_seq_time,adjust_para_time,count_seq_time,count_para_time,scan_seq_time,scan_para_time
10000,1,5.863e-05,0.000103104,6.0038e-05,0.000105382,7.3829e-05,0.000117258
10000,2,4.9728e-05,0.000194598,6.0306e-05,6.7042e-05,7.6691e-05,0.00011687
10000,4,5.4799e-05,0.000560522,6.0548e-05,6.5574e-05,7.1855e-05,0.000102246
10000,8,5.6709e-05,0.00122186,6.465e-05,9.8405e-05,7.9513e-05,7.5614e-05
10000,16,5.0115e-05,0.00200372,7.8417e-05,0.000178784,0.00155141,0.000399672
100000,1,0.000584092,0.000646592,0.000633982,0.000718975,0.00079416,0.00114573
100000,2,0.000498843,0.000709217,0.000605358,0.000379567,0.000764318,0.00100374
100000,4,0.000526109,0.000941923,0.000611914,0.000246643,0.000723814,0.000616752
100000,8,0.000495313,0.0025098,0.000651336,0.000216002,0.000814399,0.00038994
100000,16,0.000501911,0.00380489,0.000659863,0.000137416,0.000918937,0.000355211
1000000,1,0.00511307,0.00532803,0.00591982,0.00632264,0.00728528,0.0108835
1000000,2,0.00499454,0.0031363,0.00593478,0.0032467,0.00726477,0.00906632
1000000,4,0.00505429,0.00238883,0.00593669,0.00197414,0.00700466,0.00612456
1000000,8,0.00508172,0.00279873,0.00599121,0.0010674,0.00739932,0.00328326
1000000,16,0.00508678,0.00537285,0.0063883,0.000684714,0.0081,0.00194301
10000000,1,0.048969,0.0507965,0.0603448,0.0636449,0.0702115,0.103494
10000000,2,0.048737,0.0259163,0.0602648,0.0323462,0.0697181,0.0891999
10000000,4,0.0502125,0.0150911,0.062383,0.0173376,0.0720479,0.0507199
10000000,8,0.050412,0.0121985,0.0645297,0.0120894,0.0719469,0.034013
10000000,16,0.0501514,0.0129743,0.0693347,0.00694084,0.0722181,0.021202
100000000,1,0.68859,0.499265,0.603657,0.636527,0.699559,1.02346
100000000,2,0.483833,0.254255,0.604771,0.322169,0.699804,0.879609
100000000,4,0.483561,0.131611,0.603245,0.165299,0.698629,0.483166
100000000,8,0.507373,0.0701808,0.604813,0.0851563,0.707498,0.265536
100000000,16,0.482337,0.0512016,0.603505,0.0549985,0.697931,0.167347
